disthash,kutchas,puccas,university,unemployed,malaria,malaria_now,under_net,population,current_total,saturated,cost_per_completion,cost_per_message,CTR,CPM
c250de2d,0.19831223628691982,0.5949367088607594,0.5485232067510548,0.4388185654008439,0.10548523206751055,0.0,0.43037974683544306,4143512.0,237.0,False,37.03703703703704,14.285714285714,1.63730937,59.10864168
c25e6958,0.21710526315789475,0.5592105263157895,0.5657894736842105,0.40131578947368424,0.19736842105263158,0.019736842105263157,0.5131578947368421,949443.0,152.0,False,166.66666666666666,38.461538461538,1.54569061,61.82762458
c5524846,0.31125827814569534,0.45695364238410596,0.4966887417218543,0.46357615894039733,0.10596026490066225,0.019867549668874173,0.4900662251655629,1619707.0,151.0,False,83.33333333333333,26.315789473684,1.97250859,68.72852234
c5c35762,0.23148148148148148,0.49074074074074076,0.625,0.4583333333333333,0.12962962962962962,0.0,0.49074074074074076,3209141.0,216.0,False,71.42857142857143,19.607843137255,1.9964568,68.13845735
cbea7cbf,0.3682170542635659,0.47674418604651164,0.5038759689922481,0.5271317829457365,0.13953488372093023,0.015503875968992248,0.3449612403100775,4418797.0,258.0,True,19.230576923076924,8.13,2.62773723,69.51616267
ce04df02,0.16260162601626016,0.5975609756097561,0.6178861788617886,0.4634146341463415,0.16260162601626016,0.008130081300813009,0.5894308943089431,4448359.0,246.0,False,38.46153846153846,8.6206896551724,2.04855842,63.22711179
cfce48f2,0.24897959183673468,0.5020408163265306,0.47346938775510206,0.45714285714285713,0.14285714285714285,0.0326530612244898,0.7591836734693878,3564544.0,245.0,False,100.0,17.857142857143,2.25648039,62.16199416
d1030edf,0.4326923076923077,0.375,0.5961538461538461,0.4519230769230769,0.3894230769230769,0.03365384615384615,0.7403846153846154,1939869.0,208.0,False,100.0,27.027027027027,1.93519638,63.6577758
d3ed46a4,0.2336065573770492,0.5327868852459017,0.5573770491803278,0.45491803278688525,0.11885245901639344,0.01639344262295082,0.5286885245901639,2684487.0,244.0,False,26.31578947368421,9.9009900990099,1.97542998,49.14004914
d56fd7da,0.15025906735751296,0.5492227979274611,0.5233160621761658,0.38341968911917096,0.14507772020725387,0.0,0.5751295336787565,1303048.0,193.0,False,55.55555555555556,22.727272727273,1.44485684,66.27783669
d86b84cb,0.2032520325203252,0.483739837398374,0.5934959349593496,0.4065040650406504,0.21138211382113822,0.028455284552845527,0.6626016260162602,4613913.0,246.0,False,40.0,15.873015873016,2.1753282,54.24758598
d9024a8b,0.19262295081967212,0.5778688524590164,0.5450819672131147,0.45901639344262296,0.11475409836065574,0.004098360655737705,0.3073770491803279,2498156.0,244.0,False,50.0,12.658227848101,1.76839703,63.38340622
dbaa941c,0.2457627118644068,0.5550847457627118,0.6059322033898306,0.3474576271186441,0.11864406779661017,0.01694915254237288,0.5720338983050848,2293919.0,236.0,False,28.571428571428573,12.19512195122,1.9622216,56.38567804
e09ef457,0.22083333333333333,0.425,0.6791666666666667,0.45,0.09166666666666666,0.0125,0.6333333333333333,3620268.0,240.0,False,43.47826086956522,14.925373134328,1.99627813,56.39203744
e222a102,0.19724770642201836,0.4954128440366973,0.6559633027522935,0.44954128440366975,0.05504587155963303,0.009174311926605505,0.5,2470996.0,218.0,False,76.92307692307692,27.027027027027,1.75428234,59.06674542
e4f3449c,0.20416666666666666,0.45,0.5791666666666667,0.5416666666666666,0.11666666666666667,0.008333333333333333,0.5333333333333333,3108367.0,240.0,False,111.11111111111111,30.30303030303,1.71546498,64.49116471
e5b6ea7f,0.23178807947019867,0.44370860927152317,0.5364238410596026,0.46357615894039733,0.17218543046357615,0.006622516556291391,0.4370860927152318,1625388.6,151.0,False,111.11111111111111,25.0,1.34841235,72.49528781
e5d2d035,0.48333333333333334,0.2833333333333333,0.6666666666666666,0.38333333333333336,0.26666666666666666,0.027777777777777776,0.6888888888888889,2359886.0,180.0,False,100.0,30.30303030303,1.72865375,74.83349547
e5f52cdf,0.2081447963800905,0.5067873303167421,0.6199095022624435,0.39819004524886875,0.13574660633484162,0.00904977375565611,0.6787330316742082,3239774.0,221.0,False,66.66666666666667,19.607843137255,1.99040244,54.53157378
e765ab1c,0.21888412017167383,0.48497854077253216,0.5622317596566524,0.47639484978540775,0.07296137339055794,0.008583690987124463,0.8669527896995708,2684703.0,233.0,False,66.66666666666667,25.641025641026,1.8077296,69.26167059
e77e76a7,0.2591093117408907,0.5101214574898786,0.46558704453441296,0.47368421052631576,0.21052631578947367,0.008097165991902834,0.5668016194331984,3466382.0,247.0,False,37.03703703703704,9.4339622641509,2.23841749,57.84024524
f511d6e8,0.3826086956521739,0.3826086956521739,0.6608695652173913,0.33043478260869563,0.13043478260869565,0.034782608695652174,0.7304347826086957,1321442.0,115.0,False,66.66666666666667,34.48275862069,1.62472872,58.65446654
fb794055,0.16666666666666666,0.5666666666666667,0.58,0.42,0.32,0.02,0.44666666666666666,1436719.0,150.0,False,125.0,27.777777777778,1.75303112,77.22604062
ff099f99,0.2235294117647059,0.4764705882352941,0.6235294117647059,0.4470588235294118,0.10588235294117647,0.011764705882352941,0.6058823529411764,1625388.6,170.0,False,47.61904761904762,20.0,1.91718338,71.27075761
